Loop,Nand Write,Host Write,WAF
0,10666,10666,1.000000
1,15999,15999,1.000000
2,21332,21332,1.000000
3,26665,26665,1.000000
4,31998,31998,1.000000
5,37331,37331,1.000000
6,42664,42664,1.000000
7,47997,47997,1.000000
8,53330,53330,1.000000
9,58663,58663,1.000000
10,63996,63996,1.000000
11,69329,69329,1.000000
12,74662,74662,1.000000
13,79995,79995,1.000000
14,85328,85328,1.000000
15,90661,90661,1.000000
16,95994,95994,1.000000
17,101327,101327,1.000000
18,106660,106660,1.000000
19,111993,111993,1.000000
20,117326,117326,1.000000
21,122659,122659,1.000000
22,127992,127992,1.000000
23,133325,133325,1.000000
24,138658,138658,1.000000
25,143991,143991,1.000000
26,149324,149324,1.000000
27,154657,154657,1.000000
28,159990,159990,1.000000
29,165323,165323,1.000000
30,170656,170656,1.000000
31,175989,175989,1.000000
32,181322,181322,1.000000
33,186655,186655,1.000000
34,191988,191988,1.000000
35,197321,197321,1.000000
36,202654,202654,1.000000
37,207987,207987,1.000000
38,213320,213320,1.000000
39,218653,218653,1.000000
40,223986,223986,1.000000
41,229319,229319,1.000000
42,234652,234652,1.000000
43,239985,239985,1.000000
44,245318,245318,1.000000
45,250651,250651,1.000000
46,255984,255984,1.000000
47,261317,261317,1.000000
48,266650,266650,1.000000
49,271983,271983,1.000000
50,277316,277316,1.000000
51,282649,282649,1.000000
52,287982,287982,1.000000
53,293315,293315,1.000000
54,298648,298648,1.000000
55,303981,303981,1.000000
56,309314,309314,1.000000
57,314647,314647,1.000000
58,319980,319980,1.000000
59,325313,325313,1.000000
60,330646,330646,1.000000
61,335979,335979,1.000000
62,341312,341312,1.000000
63,346645,346645,1.000000
64,351978,351978,1.000000
65,357311,357311,1.000000
66,362644,362644,1.000000
67,367977,367977,1.000000
68,373310,373310,1.000000
69,378643,378643,1.000000
70,383976,383976,1.000000
71,389309,389309,1.000000
72,394642,394642,1.000000
73,399975,399975,1.000000
74,405308,405308,1.000000
75,410641,410641,1.000000
76,415974,415974,1.000000
77,421307,421307,1.000000
78,426640,426640,1.000000
79,431973,431973,1.000000
80,437306,437306,1.000000
81,442639,442639,1.000000
82,447972,447972,1.000000
83,453305,453305,1.000000
84,458638,458638,1.000000
85,463971,463971,1.000000
86,469304,469304,1.000000
87,474637,474637,1.000000
88,479970,479970,1.000000
89,485303,485303,1.000000
90,490636,490636,1.000000
91,495969,495969,1.000000
92,501302,501302,1.000000
93,506635,506635,1.000000
94,511968,511968,1.000000
95,517301,517301,1.000000
96,522634,522634,1.000000
97,527967,527967,1.000000
98,533300,533300,1.000000
99,538633,538633,1.000000
